model,lr,accuracy,f1_weighted,f1_macro,auc_macro_ovr,auc_micro_ovr
CNN,0.001,0.9908,0.9908,0.9907,0.9999,0.9999
CNN,0.01,0.9906,0.9906,0.9905,0.9999,0.9999
CNN,0.1,0.9834,0.9834,0.9832,0.9998,0.9997
DNN,0.001,0.98,0.98,0.9798,0.9996,0.9996
DNN,0.01,0.9787,0.9787,0.9784,0.9996,0.9996
DNN,0.1,0.9627,0.9628,0.9621,0.9989,0.9987
ResNet18,0.001,0.9928,0.9928,0.9927,1.0,0.9999
ResNet18,0.01,0.9908,0.9908,0.9908,0.9999,0.9999
ResNet18,0.1,0.976,0.9758,0.9757,0.9997,0.9994
VGG16,0.001,0.9949,0.9949,0.9949,0.9999,0.9999
VGG16,0.01,0.9868,0.9868,0.9867,0.9998,0.9996
VGG16,0.1,0.7994,0.7732,0.7755,0.9946,0.9869
